CARRERA;CARRERA_EST;FACULTAD
MARKETING;MARKETING INTERNACIONAL;FACULTAD DE CARRERAS UVM
MARKETING INTERNACIONAL;MARKETING INTERNACIONAL;FACULTAD DE CARRERAS UVM
MEDICINA HUMANA;MEDICINA HUMANA;FACULTAD DE SALUD
Medicina Veterinaria y Zootecnia;Medicina Veterinaria y Zootecnia;FACULTAD DE SALUD
MÚSICA;MÚSICA;OTROS
NEGOCIOS INTERNACIONALES;NEGOCIOS INTERNACIONALES;FACULTAD DE CARRERAS UVM
NUTRICION Y DIETETICA;NUTRICION Y DIETETICA;FACULTAD DE SALUD
OBSTETRICIA;OBSTETRICIA;FACULTAD DE SALUD
ODONTOLOGÍA;ODONTOLOGÍA;FACULTAD DE SALUD
OTROS;OTROS;OTROS
PSICOLOGIA;PSICOLOGIA;FACULTAD DE SALUD
SIN DATO;SIN DATO;SIN DATO
Teatro con Mención en Actuación;Teatro con Mención en Actuación;OTROS
TECNOLOGIA MEDICA  ESPECIALIDAD DE TERAPIA FISICA Y REHABILITACION;TECNOLOGIA MEDICA  ESPECIALIDAD DE TERAPIA FISICA Y REHABILITACION;FACULTAD DE SALUD
Terapia física;TECNOLOGIA MEDICA  ESPECIALIDAD DE TERAPIA FISICA Y REHABILITACION;FACULTAD DE SALUD
TERAPIA FISICA Y REHABILITACION;TECNOLOGIA MEDICA  ESPECIALIDAD DE TERAPIA FISICA Y REHABILITACION;FACULTAD DE SALUD
TRADUCCIÓN E INTERPRETACIÓN;TRADUCCIÓN E INTERPRETACIÓN;OTROS
