COLEGIO;COLEGIO_TIPO
1154 NUESTRA SEÑORA DEL CARMEN;Publica
1156 JOSE SEBASTIAN BARRANCA LOVERA;Publica
11566 MANUEL ASCENCIO SEGURA;Publica
1157 JULIO CESAR TELLO ROJAS;Publica
11589 JUAN VELASCO ALVARADO;Publica
116 ABRAHAM VALDELOMAR;Publica
1160 JOSE FAUSTINO SANCHEZ CARRION;Publica
1166 LIBERTADOR SIMON BOLIVAR;Publica
1168 HEROES DEL CENEPA;Publica
117 SIGNOS DE FE;Publica
1171 JORGE BASADRE GROHMANN;Publica
1173 JULIO CESAR TELLO;Publica
1174 VIRGEN DEL CARMEN;Publica
1178 JAVIER HERAUD;Publica
1179 TOMAS ALVA EDISON;Publica
118;Publica
118 VICTOR ALBERTO PEÑA NEYRA;Publica
1181 ALBERT EINSTEIN;Publica
1182 EL BOSQUE;Publica
1183 SAUL CANTORAL HUAMANI;Publica
1188 JUAN PABLO II;Publica
1190 FELIPE HUAMAN POMA DE AYALA;Publica
1190 FELIPE HUAMAN POMA DE AYALA (LURIGANCHO);Publica
1195 CESAR VALLEJO;Publica
1197 NICOLAS DE PIEROLA;Publica
1198 LA RIBERA;Publica
1199 MARISCAL RAMON CASTILLA;Publica
1199 MRCAL RAMON CASTILLA;Publica
1199 MRCAL RAMON CASTILLA (CHACLACAYO);Publica
1201 PAUL HARRIS;Publica
1204 VILLA JARDIN;Publica
1206 DANIEL ALCIDES CARRION;Publica
1207 SAGRADO CORAZON DE JESUS;Publica
1208 SAN FRANCISCO DE ASIS;Publica
1209 MARISCAL TORIBIO DE LUZURIAGA;Publica
121 VIRGEN DE FATIMA;Publica
1211 JOSE MARIA ARGUEDAS ALTAMIRANO;Publica
1212 GRUMETE MEDINA;Publica
1213;Publica
1213 LA GLORIA;Publica
1217 JORGE BASADRE;Publica
1218 SAN LUIS MARIA DE MONTFORT;Publica
1219 JOSE CARLOS MARIATEGUI;Publica
122 ANDRES AVELINO CACERES;Publica
1220 BEATO JOSE MARELLO;Publica
1220 SAN JOSE MARELLO;Publica
1221 MARIA PARADO DE BELLIDO;Publica
1224;Publica
1225 MARIANO MELGAR;Publica
1226;Publica
1226 SOL DE VITARTE;Publica
1227 INDIRA GANDHI;Publica
1228 LEONCIO PRADO;Publica
1229 J.A.P.ANTUNEZ DE MAYOLO;Publica
1230 SULPICIO GARCIA PEÑALOZA;Publica
1231 JOSE LUIS BUSTAMANTE Y RIVERO;Publica
1233 MANUEL FERNANDO CABREL NICHO;Publica
1234 ROSA SANTANA PISCONTE;Publica
1235 UNION LATINOAMERICANA;Publica
1244 MICAELA BASTIDAS;Publica
1248 5 DE ABRIL;Publica
125;Publica
125 RICARDO PALMA;Publica
1250;Publica
1251 PERUANO SUIZO;Publica
1252 SANTA ISABEL;Publica
1254 MARIA REICHE NEWMAN;Publica
1254 MARIA REICHE NEWMAN (ATE);Publica
1254 MARIA REICHE NEWMANN;Publica
1255 WALTER PEÑALOZA RAMELLA;Publica
1256 ALFONSO UGARTE;Publica
1257 REINO UNIDO DE GRAN BRETAÑA;Publica
126 JAVIER PEREZ DE CUELLAR;Publica
1260 EL AMAUTA;Publica
1262 EL AMAUTA JOSE C. MARIATEGUI;Publica
1263 PURUCHUCO;Publica
1263 PURUCHUCO (ATE);Publica
1264 JUAN A. VIVANCO AMORIN;Publica
1267;Publica
1268 GUSTAVO MOHME LLONA;Publica
1270 JUAN EL BAUTISTA;Publica
1275;Publica
1277 DIVINO SALVADOR;Publica
1278 MIXTO LA MOLINA;Publica
1279;Publica
1279 MARCO JARA;Publica
1282 AYMON LA CRUZ LOPEZ;Publica
